Mätperiod;Länskod;Enhetskod;Enhetsnamn;Värde;Ledarskapsindex;Motivationsindex;Styrningsindex
2017;1;1;Stockholms län;0;0;0;0
2017;3;3;Uppsala län;77;77;78;73
2017;4;4;Sörmland;77;77;79;75
2017;5;5;Östergötland;0;0;0;0
2017;6;6;Jönköpings län;82;82;77;75
2017;7;7;Kronoberg;76;76;78;75
2017;8;8;Kalmar län;76;76;78;74
2017;9;9;Gotland;76;76;79;70
2017;10;10;Blekinge;78;78;79;73
2017;12;12;Skåne;0;0;0;0
2017;13;13;Halland;0;0;0;0
2017;14;14;Västra Götaland;77;77;78;74
2017;17;17;Värmland;0;0;0;0
2017;18;18;Örebro län;79;79;78;74
2017;19;19;Västmanland;0;0;0;0
2017;20;20;Dalarna;0;0;0;0
2017;21;21;Gävleborg;76;76;78;73
2017;22;22;Västernorrland;77;77;76;70
2017;23;23;Jämtland Härjedalen;0;0;0;0
2017;24;24;Västerbotten;0;0;0;0
2017;25;25;Norrbotten;78;78;80;74
