,Län,Befolkning Total,Befolkning 0-4,Befolkning 16-64,Befolkning 25-64,Utlandsfödda urval,Ensamboende 65+,Ensamstående föräldrar,Nyinflyttad,Arbetslös,Lågutbildad
0,Stockholms län,2344124,147894,1507821,1222220,382952,141503,63539,203519,69602,127067
1,Uppsala län,376354,22552,235150,181202,43909,24100,8343,26015,10104,18766
2,Södermanlands län,294695,17621,171349,137290,40123,23186,7825,16704,12689,20323
3,Östergötlands län,461583,26622,281521,220652,55690,33180,10143,25101,17672,27175
4,Jönköpings län,360825,21830,215885,170367,46957,24862,6650,19522,10477,24117
5,Kronobergs län,199886,11979,118961,93468,26977,14300,3853,12176,7731,11958
6,Kalmar län,244670,13264,141189,113981,24044,21666,4863,13990,8709,15493
7,Gotlands län,59249,2867,34446,27850,2531,5318,1378,2924,1766,3450
8,Blekinge län,159684,8577,93148,74781,16873,13164,3371,7701,7157,8928
9,Skåne län,1362164,82954,832874,665063,193757,96760,32621,95841,59286,82096
10,Hallands län,329352,18927,194092,155321,29373,22864,6166,17393,9577,17819
11,Västra Götalands län,1709814,101030,1056992,845165,221522,118892,39353,105226,52506,102204
12,Värmlands län,281482,15336,165761,133360,21650,24672,6501,15769,8965,15081
13,Örebro län,302252,17573,181679,142287,36542,23534,7396,18773,10499,18535
14,Västmanlands län,273929,15892,163229,130199,38185,21347,6980,15515,11204,17139
15,Dalarnas län,287191,15977,165553,134786,25268,25039,7158,15115,8378,17859
16,Gävleborgs län,286547,15450,167403,135716,29031,25650,7531,12840,13125,19091
17,Västernorrlands län,245453,13121,142780,116999,19242,21426,5767,10390,9753,13347
18,Jämtlands län,130280,7285,76406,62110,8523,11771,3123,7881,3820,6320
19,Västerbottens län,270154,15123,164894,129169,19038,19914,5171,13654,7440,10764
20,Norrbottens län,250497,12624,149235,120622,14642,21579,5416,11796,7897,11021
